depth_bin,depth_min,depth_max,units,Land,Atlantic,Pacific,Indian,Arctic,Southern,Mediterranean,Coastal Atlantic,Coastal Pacific,Coastal Indian,Coastal Arctic,Coastal Southern,Coastal Mediterranean
5000-5100,5000,5100,L,0.0,1.110145096717983e+18,3.541287311459134e+18,5.5355526038178214e+17,0.0,7.681959017358239e+17,0.0,1.455925143585355e+16,1.0959494623785674e+17,4.506237267977131e+16,0.0,7829972993763593.0,0.0
5100-5200,5100,5200,L,0.0,8.975419995193298e+17,3.0388348878109153e+18,3.9077965423556256e+17,0.0,4.921041806531235e+17,0.0,1.1360598243819546e+16,9.328129851628946e+16,3.2941861917263e+16,0.0,4883533612973106.0,0.0
5200-5300,5200,5300,L,0.0,7.076834657615542e+17,2.530297384142864e+18,2.8494866182008096e+17,0.0,2.821905145574003e+17,0.0,8115584277591966.0,8.750067717581374e+16,2.862267184875731e+16,0.0,2946140209464439.0,0.0
5300-5400,5300,5400,L,0.0,5.0887158621311296e+17,1.986668282037472e+18,2.045818790494057e+17,0.0,1.5805807680145434e+17,0.0,6956013594042727.0,7.40717589693948e+16,1.9036142506940704e+16,0.0,2946140209464439.0,0.0
5400-5500,5400,5500,L,0.0,3.1471658147294605e+17,1.4993203156197573e+18,1.6064398200943805e+17,0.0,9.618386632173994e+16,0.0,4660452157498159.0,6.684217084541419e+16,1.4299072737784922e+16,0.0,0.0,0.0
5500-5600,5500,5600,L,0.0,1.8285378992346678e+17,1.1075174151230516e+18,1.0825246430516123e+17,0.0,6.192952421220387e+16,0.0,4660452157498159.0,5.4328939567853256e+16,8542097045101606.0,0.0,0.0,0.0
5600-5700,5600,5700,L,0.0,1.0478778226810072e+17,7.716922088231112e+17,7.559128623498693e+16,0.0,4.286313634224212e+16,0.0,3500881473948920.0,4.4554006064379384e+16,2445361030422879.0,0.0,0.0,0.0
5700-5800,5700,5800,L,0.0,7.366146564770662e+16,5.163122307837157e+17,4.719427904199151e+16,0.0,3.4463157932816276e+16,0.0,3500881473948920.0,3.638746575130843e+16,2445361030422879.0,0.0,0.0,0.0
5800-5900,5800,5900,L,0.0,3.0308374371856756e+16,2.8513004918198205e+17,2.0041299373050824e+16,0.0,2.6811344055830876e+16,0.0,3500881473948920.0,2.9207259760847584e+16,1224370504306162.8,0.0,0.0,0.0
5900-6000,5900,6000,L,0.0,1.2400753037204076e+16,1.2406909332607738e+17,4733157002033050.0,0.0,1.4661383074884554e+16,0.0,3500881473948920.0,2.5328739871225136e+16,1224370504306162.8,0.0,0.0,0.0
